,WINNER,LOSER
125,/tournament/674d4ac995f729096d70c0ab/player/bigmack,/tournament/674d4ac995f729096d70c0ab/player/shunfuji
126,/tournament/674d4ac995f729096d70c0ab/player/bigmack,/tournament/674d4ac995f729096d70c0ab/player/maxmagri9
127,/tournament/674d4ac995f729096d70c0ab/player/bigmack,/tournament/674d4ac995f729096d70c0ab/player/wilftex
128,/tournament/674d4ac995f729096d70c0ab/player/bet_limitless,/tournament/674d4ac995f729096d70c0ab/player/joselitosuarez
129,/tournament/674d4ac995f729096d70c0ab/player/bet_limitless,/tournament/674d4ac995f729096d70c0ab/player/irvy
130,/tournament/674d4ac995f729096d70c0ab/player/bet_limitless,/tournament/674d4ac995f729096d70c0ab/player/devv
131,/tournament/674d4ac995f729096d70c0ab/player/eyestorm1223,/tournament/674d4ac995f729096d70c0ab/player/cbreezus23
132,/tournament/674d4ac995f729096d70c0ab/player/eyestorm1223,/tournament/674d4ac995f729096d70c0ab/player/lanceseiker
133,/tournament/674d4ac995f729096d70c0ab/player/eyestorm1223,/tournament/674d4ac995f729096d70c0ab/player/wling
134,/tournament/674d4ac995f729096d70c0ab/player/alana,/tournament/674d4ac995f729096d70c0ab/player/lichtkyo
135,/tournament/674d4ac995f729096d70c0ab/player/alana,/tournament/674d4ac995f729096d70c0ab/player/gune1014
136,/tournament/674d4ac995f729096d70c0ab/player/alana,/tournament/674d4ac995f729096d70c0ab/player/titanspy
137,/tournament/674d4ac995f729096d70c0ab/player/leviathanko,/tournament/674d4ac995f729096d70c0ab/player/syr
138,/tournament/674d4ac995f729096d70c0ab/player/leviathanko,/tournament/674d4ac995f729096d70c0ab/player/ryojo
139,/tournament/674d4ac995f729096d70c0ab/player/leviathanko,/tournament/674d4ac995f729096d70c0ab/player/fshkyn
140,/tournament/674d4ac995f729096d70c0ab/player/cunhador,/tournament/674d4ac995f729096d70c0ab/player/orlandos
141,/tournament/674d4ac995f729096d70c0ab/player/cunhador,/tournament/674d4ac995f729096d70c0ab/player/p666y
142,/tournament/674d4ac995f729096d70c0ab/player/cunhador,/tournament/674d4ac995f729096d70c0ab/player/austinokray
143,/tournament/674d4ac995f729096d70c0ab/player/hatchu,/tournament/674d4ac995f729096d70c0ab/player/silverbananaa
144,/tournament/674d4ac995f729096d70c0ab/player/hatchu,/tournament/674d4ac995f729096d70c0ab/player/chaboy
145,/tournament/674d4ac995f729096d70c0ab/player/hatchu,/tournament/674d4ac995f729096d70c0ab/player/giltubz
146,/tournament/674d4ac995f729096d70c0ab/player/morupet,/tournament/674d4ac995f729096d70c0ab/player/axojad
147,/tournament/674d4ac995f729096d70c0ab/player/morupet,/tournament/674d4ac995f729096d70c0ab/player/andikaaa
148,/tournament/674d4ac995f729096d70c0ab/player/morupet,/tournament/674d4ac995f729096d70c0ab/player/wattu
149,/tournament/674d4ac995f729096d70c0ab/player/zagazaga,/tournament/674d4ac995f729096d70c0ab/player/rurua
150,/tournament/674d4ac995f729096d70c0ab/player/zagazaga,/tournament/674d4ac995f729096d70c0ab/player/wittawin
151,/tournament/674d4ac995f729096d70c0ab/player/zagazaga,/tournament/674d4ac995f729096d70c0ab/player/wling
152,/tournament/674d4ac995f729096d70c0ab/player/davidmistery,/tournament/674d4ac995f729096d70c0ab/player/jimboon
153,/tournament/674d4ac995f729096d70c0ab/player/davidmistery,/tournament/674d4ac995f729096d70c0ab/player/morupet
154,/tournament/674d4ac995f729096d70c0ab/player/max12,/tournament/674d4ac995f729096d70c0ab/player/thiagof2p
155,/tournament/674d4ac995f729096d70c0ab/player/max12,/tournament/674d4ac995f729096d70c0ab/player/shunfuji
156,/tournament/674d4ac995f729096d70c0ab/player/leo10531,/tournament/674d4ac995f729096d70c0ab/player/leviathanko
157,/tournament/674d4ac995f729096d70c0ab/player/leo10531,/tournament/674d4ac995f729096d70c0ab/player/scrambler7
158,/tournament/674d4ac995f729096d70c0ab/player/lichtkyo,/tournament/674d4ac995f729096d70c0ab/player/ishaan
